index, memory location, data type, hex value, dec, voltage
[147], 0x001D26, int, 0x0842, 2114, 1.70277099609375
[148], 0x001D28, int, 0x0870, 2160, 1.73983154296875
[149], 0x001D2A, int, 0x0877, 2167, 1.74547119140625
[150], 0x001D2C, int, 0x0877, 2167, 1.74547119140625
[151], 0x001D2E, int, 0x0857, 2135, 1.71968994140625
[152], 0x001D30, int, 0x0829, 2089, 1.68262939453125
[153], 0x001D32, int, 0x07DF, 2015, 1.62301025390625
[154], 0x001D34, int, 0x07AF, 1967, 1.58433837890625
[155], 0x001D36, int, 0x078A, 1930, 1.55452880859375
[156], 0x001D38, int, 0x0771, 1905, 1.53438720703125
[157], 0x001D3A, int, 0x076B, 1899, 1.52955322265625
[158], 0x001D3C, int, 0x07AA, 1962, 1.58031005859375
[159], 0x001D3E, int, 0x07BE, 1982, 1.59642333984375
[160], 0x001D40, int, 0x07F3, 2035, 1.63912353515625
[161], 0x001D42, int, 0x0817, 2071, 1.66812744140625
[162], 0x001D44, int, 0x086E, 2158, 1.73822021484375
[163], 0x001D46, int, 0x087E, 2174, 1.75111083984375
[164], 0x001D48, int, 0x08A3, 2211, 1.78092041015625
[165], 0x001D4A, int, 0x088F, 2191, 1.76480712890625
[166], 0x001D4C, int, 0x0876, 2166, 1.74466552734375
[167], 0x001D4E, int, 0x083C, 2108, 1.69793701171875
[168], 0x001D50, int, 0x07F0, 2032, 1.63670654296875
[169], 0x001D52, int, 0x07BF, 1983, 1.59722900390625
[170], 0x001D54, int, 0x07A5, 1957, 1.57628173828125
[171], 0x001D56, int, 0x0784, 1924, 1.54969482421875
[172], 0x001D58, int, 0x0797, 1943, 1.56500244140625
[173], 0x001D5A, int, 0x0797, 1943, 1.56500244140625
[174], 0x001D5C, int, 0x07CC, 1996, 1.60770263671875
[175], 0x001D5E, int, 0x07F9, 2041, 1.64395751953125
[176], 0x001D60, int, 0x0847, 2119, 1.70679931640625
[177], 0x001D62, int, 0x085F, 2143, 1.72613525390625
[178], 0x001D64, int, 0x0880, 2176, 1.75272216796875
[179], 0x001D66, int, 0x0878, 2168, 1.74627685546875
[180], 0x001D68, int, 0x086F, 2159, 1.73902587890625
[181], 0x001D6A, int, 0x0853, 2131, 1.71646728515625
[182], 0x001D6C, int, 0x0810, 2064, 1.66248779296875
[183], 0x001D6E, int, 0x07E8, 2024, 1.63026123046875
[184], 0x001D70, int, 0x07AB, 1963, 1.58111572265625
[185], 0x001D72, int, 0x077F, 1919, 1.54566650390625
[186], 0x001D74, int, 0x0760, 1888, 1.52069091796875
[187], 0x001D76, int, 0x0767, 1895, 1.52633056640625
[188], 0x001D78, int, 0x0797, 1943, 1.56500244140625
[189], 0x001D7A, int, 0x07AF, 1967, 1.58433837890625
[190], 0x001D7C, int, 0x07FC, 2044, 1.64637451171875
[191], 0x001D7E, int, 0x0823, 2083, 1.67779541015625
[192], 0x001D80, int, 0x086F, 2159, 1.73902587890625
[193], 0x001D82, int, 0x0873, 2163, 1.74224853515625
[194], 0x001D84, int, 0x0879, 2169, 1.74708251953125
[195], 0x001D86, int, 0x0857, 2135, 1.71968994140625
[196], 0x001D88, int, 0x083F, 2111, 1.70035400390625
[197], 0x001D8A, int, 0x07F9, 2041, 1.64395751953125
[198], 0x001D8C, int, 0x07C1, 1985, 1.59884033203125
[199], 0x001D8E, int, 0x07A7, 1959, 1.57789306640625
[200], 0x001D90, int, 0x077F, 1919, 1.54566650390625
[201], 0x001D92, int, 0x075C, 1884, 1.51746826171875
[202], 0x001D94, int, 0x0770, 1904, 1.53358154296875
[203], 0x001D96, int, 0x077F, 1919, 1.54566650390625
[204], 0x001D98, int, 0x07CF, 1999, 1.61011962890625
[205], 0x001D9A, int, 0x07E4, 2020, 1.62703857421875
[206], 0x001D9C, int, 0x083F, 2111, 1.70035400390625
[207], 0x001D9E, int, 0x085D, 2141, 1.72452392578125
[208], 0x001DA0, int, 0x0884, 2180, 1.75594482421875
[209], 0x001DA2, int, 0x0888, 2184, 1.75916748046875
[210], 0x001DA4, int, 0x0870, 2160, 1.73983154296875
[211], 0x001DA6, int, 0x083F, 2111, 1.70035400390625
[212], 0x001DA8, int, 0x07FC, 2044, 1.64637451171875
[213], 0x001DAA, int, 0x07C0, 1984, 1.59803466796875
[214], 0x001DAC, int, 0x079B, 1947, 1.56822509765625
[215], 0x001DAE, int, 0x076E, 1902, 1.53197021484375
[216], 0x001DB0, int, 0x075C, 1884, 1.51746826171875
[217], 0x001DB2, int, 0x0768, 1896, 1.52713623046875
[218], 0x001DB4, int, 0x0797, 1943, 1.56500244140625
[219], 0x001DB6, int, 0x07B7, 1975, 1.59078369140625
[220], 0x001DB8, int, 0x07F9, 2041, 1.64395751953125
[221], 0x001DBA, int, 0x0827, 2087, 1.68101806640625
[222], 0x001DBC, int, 0x0857, 2135, 1.71968994140625
[223], 0x001DBE, int, 0x0853, 2131, 1.71646728515625
[224], 0x001DC0, int, 0x0858, 2136, 1.72049560546875
[225], 0x001DC2, int, 0x0840, 2112, 1.70115966796875
[226], 0x001DC4, int, 0x0803, 2051, 1.65201416015625
[227], 0x001DC6, int, 0x07CB, 1995, 1.60689697265625
[228], 0x001DC8, int, 0x07A0, 1952, 1.57225341796875
[229], 0x001DCA, int, 0x0771, 1905, 1.53438720703125
[230], 0x001DCC, int, 0x0763, 1891, 1.52310791015625
[231], 0x001DCE, int, 0x074F, 1871, 1.50699462890625
[232], 0x001DD0, int, 0x0770, 1904, 1.53358154296875
[233], 0x001DD2, int, 0x077D, 1917, 1.54405517578125
[234], 0x001DD4, int, 0x07C4, 1988, 1.60125732421875
[235], 0x001DD6, int, 0x07E8, 2024, 1.63026123046875
[236], 0x001DD8, int, 0x083F, 2111, 1.70035400390625
[237], 0x001DDA, int, 0x084B, 2123, 1.71002197265625
[238], 0x001DDC, int, 0x087A, 2170, 1.74788818359375
[239], 0x001DDE, int, 0x0881, 2177, 1.75352783203125
[240], 0x001DE0, int, 0x0850, 2128, 1.71405029296875
[241], 0x001DE2, int, 0x082B, 2091, 1.68424072265625
