index, memory location, data type, hex value, dec, voltage
[161], 0x001D42, int, 0x00C9, 201, 0.058740234375
[162], 0x001D44, int, 0x009A, 154, 0.044970703125
[163], 0x001D46, int, 0x00C0, 192, 0.056103515624999996
[164], 0x001D48, int, 0x01A3, 419, 0.12260742187499998
[165], 0x001D4A, int, 0x027F, 639, 0.18706054687499998
[166], 0x001D4C, int, 0x03C7, 967, 0.283154296875
[167], 0x001D4E, int, 0x04A1, 1185, 0.347021484375
[168], 0x001D50, int, 0x0599, 1433, 0.419677734375
[169], 0x001D52, int, 0x05ED, 1517, 0.444287109375
[170], 0x001D54, int, 0x05D6, 1494, 0.437548828125
[171], 0x001D56, int, 0x057B, 1403, 0.410888671875
[172], 0x001D58, int, 0x04E3, 1251, 0.36635742187500003
[173], 0x001D5A, int, 0x03F7, 1015, 0.297216796875
[174], 0x001D5C, int, 0x02A8, 680, 0.199072265625
[175], 0x001D5E, int, 0x01C4, 452, 0.132275390625
[176], 0x001D60, int, 0x00F4, 244, 0.071337890625
[177], 0x001D62, int, 0x00C3, 195, 0.056982421875
[178], 0x001D64, int, 0x00E4, 228, 0.06665039062499999
[179], 0x001D66, int, 0x0154, 340, 0.099462890625
[180], 0x001D68, int, 0x0276, 630, 0.184423828125
[181], 0x001D6A, int, 0x0356, 854, 0.250048828125
[182], 0x001D6C, int, 0x04A5, 1189, 0.348193359375
[183], 0x001D6E, int, 0x055A, 1370, 0.401220703125
[184], 0x001D70, int, 0x05EF, 1519, 0.444873046875
[185], 0x001D72, int, 0x05FB, 1531, 0.44838867187500003
[186], 0x001D74, int, 0x05B7, 1463, 0.428466796875
[187], 0x001D76, int, 0x04DB, 1243, 0.364013671875
[188], 0x001D78, int, 0x03F4, 1012, 0.296337890625
[189], 0x001D7A, int, 0x030B, 779, 0.22807617187499998
[190], 0x001D7C, int, 0x01D0, 464, 0.13579101562499998
[191], 0x001D7E, int, 0x0118, 280, 0.081884765625
[192], 0x001D80, int, 0x00B3, 179, 0.052294921875
[193], 0x001D82, int, 0x00DE, 222, 0.06489257812499999
[194], 0x001D84, int, 0x0114, 276, 0.08071289062499999
[195], 0x001D86, int, 0x01B9, 441, 0.12905273437499998
[196], 0x001D88, int, 0x0279, 633, 0.185302734375
[197], 0x001D8A, int, 0x03D9, 985, 0.288427734375
[198], 0x001D8C, int, 0x04B0, 1200, 0.351416015625
[199], 0x001D8E, int, 0x05AE, 1454, 0.425830078125
[200], 0x001D90, int, 0x05FE, 1534, 0.449267578125
[201], 0x001D92, int, 0x05FC, 1532, 0.448681640625
